signal_date,execution_date,selected,safe_asset_weight,turnover,transaction_cost,momentum,weights
2010-04-30,2010-05-03,VNQ|IWM|QQQ,0.0,0.0,0.0,VNQ:0.246571|IWM:0.194950|QQQ:0.151965,QQQ:0.333333|IWM:0.333333|VNQ:0.333333
2010-05-28,2010-06-01,VNQ|GLD|TLT,0.0,0.6666666666666666,0.0006666666666666666,VNQ:0.108234|GLD:0.086357|TLT:0.064122,TLT:0.333333|GLD:0.333333|VNQ:0.333333
2010-06-30,2010-07-01,TLT|GLD|IEF,0.0,0.3333333333333333,0.0003333333333333333,TLT:0.148963|GLD:0.116843|IEF:0.078239,TLT:0.333333|IEF:0.333333|GLD:0.333333
2010-07-30,2010-08-02,TLT|IEF|GLD,0.0,0.0,0.0,TLT:0.101499|IEF:0.070358|GLD:0.001127,TLT:0.333333|IEF:0.333333|GLD:0.333333
2010-08-31,2010-09-01,TLT|IEF|VNQ,0.0,0.3333333333333333,0.0003333333333333333,TLT:0.138789|IEF:0.079521|VNQ:0.027218,TLT:0.333333|IEF:0.333333|VNQ:0.333333
2010-09-30,2010-10-01,EEM|EFA|QQQ,0.0,0.9999999999999999,0.0009999999999999998,EEM:0.191008|EFA:0.163806|QQQ:0.154847,QQQ:0.333333|EFA:0.333333|EEM:0.333333
2010-10-29,2010-11-01,GLD|QQQ|EEM,0.0,0.3333333333333333,0.0003333333333333333,GLD:0.147828|QQQ:0.120681|EEM:0.085943,QQQ:0.333333|EEM:0.333333|GLD:0.333333
2010-11-30,2010-12-01,IWM|QQQ|SPY,0.0,0.6666666666666666,0.0006666666666666666,IWM:0.211911|QQQ:0.201380|SPY:0.131178,SPY:0.333333|QQQ:0.333333|IWM:0.333333
2010-12-31,2011-01-03,IWM|DBC|QQQ,0.0,0.3333333333333333,0.0003333333333333333,IWM:0.158183|DBC:0.140315|QQQ:0.113404,QQQ:0.333333|IWM:0.333333|DBC:0.333333
2011-01-31,2011-02-01,DBC|IWM|SPY,0.0,0.3333333333333333,0.0003333333333333333,DBC:0.133042|IWM:0.113839|SPY:0.091710,SPY:0.333333|IWM:0.333333|DBC:0.333333
2011-02-28,2011-03-01,DBC|IWM|SPY,0.0,0.0,0.0,DBC:0.176564|IWM:0.128688|SPY:0.126686,SPY:0.333333|IWM:0.333333|DBC:0.333333
2011-03-31,2011-04-01,DBC|IWM|VNQ,0.0,0.3333333333333333,0.0003333333333333333,DBC:0.128328|IWM:0.070921|VNQ:0.061569,IWM:0.333333|VNQ:0.333333|DBC:0.333333
2011-04-29,2011-05-02,GLD|DBC|IWM,0.0,0.3333333333333333,0.0003333333333333333,GLD:0.169558|DBC:0.135635|IWM:0.118336,IWM:0.333333|GLD:0.333333|DBC:0.333333
2011-05-31,2011-06-01,VNQ|EEM|GLD,0.0,0.6666666666666666,0.0006666666666666666,VNQ:0.087061|EEM:0.070830|GLD:0.068628,EEM:0.333333|GLD:0.333333|VNQ:0.333333
2011-06-30,2011-07-01,GLD|IEF|VNQ,0.0,0.3333333333333333,0.0003333333333333333,GLD:0.043901|IEF:0.038663|VNQ:0.036635,IEF:0.333333|GLD:0.333333|VNQ:0.333333
2011-07-29,2011-08-01,TLT|IEF|GLD,0.0,0.3333333333333333,0.0003333333333333333,TLT:0.054799|IEF:0.052211|GLD:0.038853,TLT:0.333333|IEF:0.333333|GLD:0.333333
2011-08-31,2011-09-01,GLD|TLT|IEF,0.0,0.0,0.0,GLD:0.188763|TLT:0.125003|IEF:0.071856,TLT:0.333333|IEF:0.333333|GLD:0.333333
2011-09-30,2011-10-03,TLT|IEF|GLD,0.0,0.0,0.0,TLT:0.298388|IEF:0.106603|GLD:0.090595,TLT:0.333333|IEF:0.333333|GLD:0.333333
2011-10-31,2011-11-01,TLT|IEF|GLD,0.0,0.0,0.0,TLT:0.147576|IEF:0.042726|GLD:0.036033,TLT:0.333333|IEF:0.333333|GLD:0.333333
2011-11-30,2011-12-01,TLT|QQQ|IEF,0.0,0.3333333333333333,0.0003333333333333333,TLT:0.110368|QQQ:0.026055|IEF:0.015070,QQQ:0.333333|TLT:0.333333|IEF:0.333333
2011-12-30,2012-01-03,VNQ|SPY|TLT,0.0,0.6666666666666666,0.0006666666666666666,VNQ:0.152797|SPY:0.116182|TLT:0.014625,SPY:0.333333|TLT:0.333333|VNQ:0.333333
2012-01-31,2012-02-01,TLT|VNQ|IEF,0.0,0.3333333333333333,0.0003333333333333333,TLT:0.093243|VNQ:0.060949|IEF:0.048510,TLT:0.333333|IEF:0.333333|VNQ:0.333333
2012-02-29,2012-03-01,EEM|QQQ|IWM,0.0,0.9999999999999999,0.0009999999999999998,EEM:0.183053|QQQ:0.181588|IWM:0.167006,QQQ:0.333333|IWM:0.333333|EEM:0.333333
2012-03-30,2012-04-02,QQQ|EEM|SPY,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.208513|EEM:0.132947|SPY:0.121370,SPY:0.333333|QQQ:0.333333|EEM:0.333333
2012-04-30,2012-05-01,QQQ|VNQ|SPY,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.106259|VNQ:0.074857|SPY:0.069369,SPY:0.333333|QQQ:0.333333|VNQ:0.333333
2012-05-31,2012-06-01,TLT|IEF|VNQ,0.0,0.6666666666666666,0.0006666666666666666,TLT:0.104947|IEF:0.041100|VNQ:0.027094,TLT:0.333333|IEF:0.333333|VNQ:0.333333
2012-06-29,2012-07-02,TLT|IEF|VNQ,0.0,0.0,0.0,TLT:0.123777|IEF:0.050138|VNQ:0.036438,TLT:0.333333|IEF:0.333333|VNQ:0.333333
2012-07-31,2012-08-01,TLT|IEF|VNQ,0.0,0.0,0.0,TLT:0.118678|IEF:0.040681|VNQ:0.016773,TLT:0.333333|IEF:0.333333|VNQ:0.333333
2012-08-31,2012-09-04,DBC|EFA|QQQ,0.0,0.9999999999999999,0.0009999999999999998,DBC:0.158085|EFA:0.124885|QQQ:0.122338,QQQ:0.333333|EFA:0.333333|DBC:0.333333
2012-09-28,2012-10-01,DBC|GLD|QQQ,0.0,0.3333333333333333,0.0003333333333333333,DBC:0.113786|GLD:0.107610|QQQ:0.071782,QQQ:0.333333|GLD:0.333333|DBC:0.333333
2012-10-31,2012-11-01,EFA|GLD|EEM,0.0,0.6666666666666666,0.0006666666666666666,EFA:0.071600|GLD:0.066074|EEM:0.051892,EFA:0.333333|EEM:0.333333|GLD:0.333333
2012-11-30,2012-12-03,EEM|EFA|GLD,0.0,0.0,0.0,EEM:0.061468|EFA:0.060670|GLD:0.034000,EFA:0.333333|EEM:0.333333|GLD:0.333333
2012-12-31,2013-01-02,EEM|EFA|VNQ,0.0,0.3333333333333333,0.0003333333333333333,EEM:0.073430|EFA:0.063116|VNQ:0.023519,EFA:0.333333|EEM:0.333333|VNQ:0.333333
2013-01-31,2013-02-01,IWM|EFA|VNQ,0.0,0.3333333333333333,0.0003333333333333333,IWM:0.113581|EFA:0.112009|VNQ:0.083599,IWM:0.333333|EFA:0.333333|VNQ:0.333333
2013-02-28,2013-03-01,IWM|VNQ|SPY,0.0,0.3333333333333333,0.0003333333333333333,IWM:0.131882|VNQ:0.095916|SPY:0.088045,SPY:0.333333|IWM:0.333333|VNQ:0.333333
2013-03-28,2013-04-01,IWM|SPY|VNQ,0.0,0.0,0.0,IWM:0.138440|SPY:0.110171|VNQ:0.088428,SPY:0.333333|IWM:0.333333|VNQ:0.333333
2013-04-30,2013-05-01,VNQ|SPY|TLT,0.0,0.3333333333333333,0.0003333333333333333,VNQ:0.094202|SPY:0.064584|TLT:0.058709,SPY:0.333333|TLT:0.333333|VNQ:0.333333
2013-05-31,2013-06-03,QQQ|SPY|IWM,0.0,0.6666666666666666,0.0006666666666666666,QQQ:0.089634|SPY:0.079330|IWM:0.079052,SPY:0.333333|QQQ:0.333333|IWM:0.333333
2013-06-28,2013-07-01,QQQ|IWM|SPY,0.0,0.0,0.0,QQQ:0.043730|IWM:0.041219|SPY:0.033443,SPY:0.333333|QQQ:0.333333|IWM:0.333333
2013-07-31,2013-08-01,IWM|QQQ|SPY,0.0,0.0,0.0,IWM:0.133894|QQQ:0.079837|SPY:0.071536,SPY:0.333333|QQQ:0.333333|IWM:0.333333
2013-08-30,2013-09-03,QQQ|IWM|EFA,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.031735|IWM:0.021166|EFA:0.001148,QQQ:0.333333|IWM:0.333333|EFA:0.333333
2013-09-30,2013-10-01,QQQ|EFA|IWM,0.0,0.0,0.0,QQQ:0.103289|EFA:0.103043|IWM:0.089086,QQQ:0.333333|IWM:0.333333|EFA:0.333333
2013-10-31,2013-11-01,QQQ|EEM|EFA,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.078843|EEM:0.069252|EFA:0.068267,QQQ:0.333333|EFA:0.333333|EEM:0.333333
2013-11-29,2013-12-02,QQQ|IWM|EFA,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.139360|IWM:0.133813|EFA:0.119486,QQQ:0.333333|IWM:0.333333|EFA:0.333333
2013-12-31,2014-01-02,QQQ|SPY|IWM,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.107422|SPY:0.096568|IWM:0.073752,SPY:0.333333|QQQ:0.333333|IWM:0.333333
2014-01-31,2014-02-03,QQQ|IWM|TLT,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.042951|IWM:0.025147|TLT:0.017127,QQQ:0.333333|IWM:0.333333|TLT:0.333333
2014-02-28,2014-03-03,VNQ|QQQ|GLD,0.0,0.6666666666666666,0.0006666666666666666,VNQ:0.095850|QQQ:0.075306|GLD:0.065098,QQQ:0.333333|GLD:0.333333|VNQ:0.333333
2014-03-31,2014-04-01,VNQ|TLT|IEF,0.0,0.6666666666666666,0.0006666666666666666,VNQ:0.095415|TLT:0.076951|IEF:0.026651,TLT:0.333333|IEF:0.333333|VNQ:0.333333
2014-04-30,2014-05-01,VNQ|EEM|SPY,0.0,0.6666666666666666,0.0006666666666666666,VNQ:0.113047|EEM:0.093965|SPY:0.066485,SPY:0.333333|EEM:0.333333|VNQ:0.333333
2014-05-30,2014-06-02,EEM|VNQ|TLT,0.0,0.3333333333333333,0.0003333333333333333,EEM:0.077761|VNQ:0.062887|TLT:0.058762,EEM:0.333333|TLT:0.333333|VNQ:0.333333
2014-06-30,2014-07-01,QQQ|VNQ|EEM,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.074055|VNQ:0.069627|EEM:0.062472,QQQ:0.333333|EEM:0.333333|VNQ:0.333333
2014-07-31,2014-08-01,QQQ|EEM|VNQ,0.0,0.0,0.0,QQQ:0.086998|EEM:0.067342|VNQ:0.032050,QQQ:0.333333|EEM:0.333333|VNQ:0.333333
2014-08-29,2014-09-02,QQQ|EEM|TLT,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.096779|EEM:0.064115|TLT:0.059419,QQQ:0.333333|EEM:0.333333|TLT:0.333333
2014-09-30,2014-10-01,QQQ|TLT|IEF,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.043027|TLT:0.040638|IEF:0.009186,QQQ:0.333333|TLT:0.333333|IEF:0.333333
2014-10-31,2014-11-03,QQQ|VNQ|TLT,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.066316|VNQ:0.059599|TLT:0.048660,QQQ:0.333333|TLT:0.333333|VNQ:0.333333
2014-11-28,2014-12-01,QQQ|VNQ|SPY,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.064965|VNQ:0.053627|SPY:0.037161,SPY:0.333333|QQQ:0.333333|VNQ:0.333333
2014-12-31,2015-01-02,VNQ|IWM|TLT,0.0,0.6666666666666666,0.0006666666666666666,VNQ:0.141760|IWM:0.113782|TLT:0.072324,IWM:0.333333|TLT:0.333333|VNQ:0.333333
2015-01-30,2015-02-02,TLT|VNQ|GLD,0.0,0.3333333333333333,0.0003333333333333333,TLT:0.165456|VNQ:0.131703|GLD:0.060476,TLT:0.333333|GLD:0.333333|VNQ:0.333333
2015-02-27,2015-03-02,TLT|VNQ|IWM,0.0,0.3333333333333333,0.0003333333333333333,TLT:0.075590|VNQ:0.061638|IWM:0.042155,IWM:0.333333|TLT:0.333333|VNQ:0.333333
2015-03-31,2015-04-01,TLT|EFA|IWM,0.0,0.3333333333333333,0.0003333333333333333,TLT:0.046829|EFA:0.038518|IWM:0.030563,IWM:0.333333|EFA:0.333333|TLT:0.333333
2015-04-30,2015-05-01,EFA|EEM|QQQ,0.0,0.6666666666666666,0.0006666666666666666,EFA:0.069292|EEM:0.068794|QQQ:0.058765,QQQ:0.333333|EFA:0.333333|EEM:0.333333
2015-05-29,2015-06-01,EFA|QQQ|IWM,0.0,0.3333333333333333,0.0003333333333333333,EFA:0.023656|QQQ:0.017556|IWM:0.013772,QQQ:0.333333|IWM:0.333333|EFA:0.333333
2015-06-30,2015-07-01,QQQ|EFA|IWM,0.0,0.0,0.0,QQQ:0.016253|EFA:0.006109|IWM:0.003940,QQQ:0.333333|IWM:0.333333|EFA:0.333333
2015-07-31,2015-08-03,QQQ|IWM|SPY,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.028954|IWM:0.012394|SPY:0.003815,SPY:0.333333|QQQ:0.333333|IWM:0.333333
2015-08-31,2015-09-01,IEF,0.0,1.0,0.001,IEF:0.010884,IEF:1.000000
2015-09-30,2015-10-01,IEF,0.0,0.0,0.0,IEF:0.037453,IEF:1.000000
2015-10-30,2015-11-02,QQQ|VNQ|IEF,0.0,0.6666666666666666,0.0006666666666666666,QQQ:0.017972|VNQ:0.015079|IEF:0.007049,QQQ:0.333333|IEF:0.333333|VNQ:0.333333
2015-11-30,2015-12-01,QQQ|VNQ|SPY,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.095747|VNQ:0.083123|SPY:0.061238,SPY:0.333333|QQQ:0.333333|VNQ:0.333333
2015-12-31,2016-01-04,QQQ|VNQ,0.0,0.33333333333333337,0.0003333333333333334,QQQ:0.097649|VNQ:0.064993,QQQ:0.500000|VNQ:0.500000
2016-01-29,2016-02-01,TLT|IEF,0.0,1.0,0.001,TLT:0.034613|IEF:0.019967,TLT:0.500000|IEF:0.500000
2016-02-29,2016-03-01,GLD|TLT|IEF,0.0,0.33333333333333337,0.0003333333333333334,GLD:0.157915|TLT:0.088302|IEF:0.045414,TLT:0.333333|IEF:0.333333|GLD:0.333333
2016-03-31,2016-04-01,GLD|TLT|VNQ,0.0,0.3333333333333333,0.0003333333333333333,GLD:0.151076|TLT:0.091095|VNQ:0.049907,TLT:0.333333|GLD:0.333333|VNQ:0.333333
2016-04-29,2016-05-02,GLD|DBC|EEM,0.0,0.6666666666666666,0.0006666666666666666,GLD:0.156148|DBC:0.140845|EEM:0.124959,EEM:0.333333|GLD:0.333333|DBC:0.333333
2016-05-31,2016-06-01,DBC|IWM|VNQ,0.0,0.6666666666666666,0.0006666666666666666,DBC:0.152821|IWM:0.099155|VNQ:0.072734,IWM:0.333333|VNQ:0.333333|DBC:0.333333
2016-06-30,2016-07-01,DBC|GLD|VNQ,0.0,0.3333333333333333,0.0003333333333333333,DBC:0.175344|GLD:0.081587|VNQ:0.069029,GLD:0.333333|VNQ:0.333333|DBC:0.333333
2016-07-29,2016-08-01,VNQ|TLT|QQQ,0.0,0.6666666666666666,0.0006666666666666666,VNQ:0.139936|TLT:0.100619|QQQ:0.092858,QQQ:0.333333|TLT:0.333333|VNQ:0.333333
2016-08-31,2016-09-01,EEM|GLD|TLT,0.0,0.6666666666666666,0.0006666666666666666,EEM:0.103297|GLD:0.078759|TLT:0.068690,EEM:0.333333|TLT:0.333333|GLD:0.333333
2016-09-30,2016-10-03,QQQ|IWM|EEM,0.0,0.6666666666666666,0.0006666666666666666,QQQ:0.101198|IWM:0.085340|EEM:0.079562,QQQ:0.333333|IWM:0.333333|EEM:0.333333
2016-10-31,2016-11-01,DBC|EEM|QQQ,0.0,0.3333333333333333,0.0003333333333333333,DBC:0.067809|EEM:0.035117|QQQ:0.020208,QQQ:0.333333|EEM:0.333333|DBC:0.333333
2016-11-30,2016-12-01,IWM|DBC|SPY,0.0,0.6666666666666666,0.0006666666666666666,IWM:0.070954|DBC:0.056984|SPY:0.018922,SPY:0.333333|IWM:0.333333|DBC:0.333333
2016-12-30,2017-01-03,IWM|DBC|SPY,0.0,0.0,0.0,IWM:0.090139|DBC:0.055297|SPY:0.039517,SPY:0.333333|IWM:0.333333|DBC:0.333333
2017-01-31,2017-02-01,IWM|SPY|QQQ,0.0,0.3333333333333333,0.0003333333333333333,IWM:0.150451|SPY:0.076838|QQQ:0.066938,SPY:0.333333|QQQ:0.333333|IWM:0.333333
2017-02-28,2017-03-01,QQQ|EEM|VNQ,0.0,0.6666666666666666,0.0006666666666666666,QQQ:0.097681|EEM:0.090054|VNQ:0.085680,QQQ:0.333333|EEM:0.333333|VNQ:0.333333
2017-03-31,2017-04-03,EEM|QQQ|EFA,0.0,0.3333333333333333,0.0003333333333333333,EEM:0.117130|QQQ:0.108139|EFA:0.082739,QQQ:0.333333|EFA:0.333333|EEM:0.333333
2017-04-28,2017-05-01,QQQ|EEM|GLD,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.083250|EEM:0.069122|GLD:0.064147,QQQ:0.333333|EEM:0.333333|GLD:0.333333
2017-05-31,2017-06-01,EFA|QQQ|EEM,0.0,0.3333333333333333,0.0003333333333333333,EFA:0.083483|QQQ:0.077175|EEM:0.067911,QQQ:0.333333|EFA:0.333333|EEM:0.333333
2017-06-30,2017-07-03,EFA|EEM|TLT,0.0,0.3333333333333333,0.0003333333333333333,EFA:0.063663|EEM:0.055643|TLT:0.043103,EFA:0.333333|EEM:0.333333|TLT:0.333333
2017-07-31,2017-08-01,EEM|EFA|QQQ,0.0,0.3333333333333333,0.0003333333333333333,EEM:0.092155|EFA:0.061717|QQQ:0.046795,QQQ:0.333333|EFA:0.333333|EEM:0.333333
2017-08-31,2017-09-01,EEM|DBC|GLD,0.0,0.6666666666666666,0.0006666666666666666,EEM:0.078489|DBC:0.047157|GLD:0.034619,EEM:0.333333|GLD:0.333333|DBC:0.333333
2017-09-29,2017-10-02,EEM|DBC|QQQ,0.0,0.3333333333333333,0.0003333333333333333,EEM:0.082629|DBC:0.065744|QQQ:0.059055,QQQ:0.333333|EEM:0.333333|DBC:0.333333
2017-10-31,2017-11-01,DBC|IWM|QQQ,0.0,0.3333333333333333,0.0003333333333333333,DBC:0.074497|IWM:0.066972|QQQ:0.059278,QQQ:0.333333|IWM:0.333333|DBC:0.333333
2017-11-30,2017-12-01,IWM|SPY|DBC,0.0,0.3333333333333333,0.0003333333333333333,IWM:0.102283|SPY:0.076105|DBC:0.070199,SPY:0.333333|IWM:0.333333|DBC:0.333333
2017-12-29,2018-01-02,DBC|QQQ|SPY,0.0,0.3333333333333333,0.0003333333333333333,DBC:0.078572|QQQ:0.073123|SPY:0.067643,SPY:0.333333|QQQ:0.333333|DBC:0.333333
2018-01-31,2018-02-01,EEM|QQQ|SPY,0.0,0.3333333333333333,0.0003333333333333333,EEM:0.129844|QQQ:0.119899|SPY:0.103568,SPY:0.333333|QQQ:0.333333|EEM:0.333333
2018-02-28,2018-03-01,QQQ|SPY|EEM,0.0,0.0,0.0,QQQ:0.072794|SPY:0.049220|EEM:0.036965,SPY:0.333333|QQQ:0.333333|EEM:0.333333
2018-03-29,2018-04-02,EEM|DBC|GLD,0.0,0.6666666666666666,0.0006666666666666666,EEM:0.036496|DBC:0.030340|GLD:0.029125,EEM:0.333333|GLD:0.333333|DBC:0.333333
2018-04-30,2018-05-01,DBC,0.0,0.6666666666666667,0.0006666666666666668,DBC:0.020930,DBC:1.000000
2018-05-31,2018-06-01,IWM|VNQ|DBC,0.0,0.6666666666666667,0.0006666666666666668,IWM:0.088002|VNQ:0.084951|DBC:0.084185,IWM:0.333333|VNQ:0.333333|DBC:0.333333
2018-06-29,2018-07-02,QQQ|IWM|VNQ,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.106150|IWM:0.105583|VNQ:0.104165,QQQ:0.333333|IWM:0.333333|VNQ:0.333333
2018-07-31,2018-08-01,QQQ|IWM|VNQ,0.0,0.0,0.0,QQQ:0.086299|IWM:0.080487|VNQ:0.077099,QQQ:0.333333|IWM:0.333333|VNQ:0.333333
2018-08-31,2018-09-04,QQQ|VNQ|SPY,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.073147|VNQ:0.061294|SPY:0.060799,SPY:0.333333|QQQ:0.333333|VNQ:0.333333
2018-09-28,2018-10-01,QQQ|SPY|IWM,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.084325|SPY:0.076512|IWM:0.035655,SPY:0.333333|QQQ:0.333333|IWM:0.333333
2018-10-31,2018-11-01,,1.0,1.0,0.001,,BIL:1.000000
2018-11-30,2018-12-03,,1.0,0.0,0.0,,BIL:1.000000
2018-12-31,2019-01-02,GLD|TLT|IEF,0.0,1.0,0.001,GLD:0.075293|TLT:0.045878|IEF:0.038560,TLT:0.333333|IEF:0.333333|GLD:0.333333
2019-01-31,2019-02-01,EEM|VNQ|GLD,0.0,0.6666666666666666,0.0006666666666666666,EEM:0.151249|VNQ:0.079646|GLD:0.072565,EEM:0.333333|GLD:0.333333|VNQ:0.333333
2019-02-28,2019-03-01,GLD|EEM|QQQ,0.0,0.3333333333333333,0.0003333333333333333,GLD:0.072207|EEM:0.070782|QQQ:0.066275,QQQ:0.333333|EEM:0.333333|GLD:0.333333
2019-03-29,2019-04-01,VNQ|QQQ|SPY,0.0,0.6666666666666666,0.0006666666666666666,VNQ:0.180783|QQQ:0.176001|SPY:0.143726,SPY:0.333333|QQQ:0.333333|VNQ:0.333333
2019-04-30,2019-05-01,QQQ|SPY|IWM,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.175249|SPY:0.121123|IWM:0.085581,SPY:0.333333|QQQ:0.333333|IWM:0.333333
2019-05-31,2019-06-03,TLT|IEF|VNQ,0.0,0.9999999999999999,0.0009999999999999998,TLT:0.115775|IEF:0.055826|VNQ:0.045160,TLT:0.333333|IEF:0.333333|VNQ:0.333333
